source,label,target,type,id,kind,weight
Secundus Angelus,SPRECHEN,Secunda Maria,directed,e538,spricht,
Secundus Angelus,SPRECHEN,Tertia Maria,directed,e539,spricht,
Tertia Maria,SPRECHEN,Primus Angelus,directed,e540,spricht,
Tertia Maria,SPRECHEN,Secundus Angelus,directed,e541,spricht,
Tertia Maria,SPRECHEN,Tertius Angelus,directed,e542,spricht,
Primus Angelus,SINGEN,Prima Maria,directed,e543,singt,
Primus Angelus,SINGEN,Secunda Maria,directed,e544,singt,
Primus Angelus,SINGEN,Tertia Maria,directed,e545,singt,
Secundus Angelus,SINGEN,Prima Maria,directed,e546,singt,
Secundus Angelus,SINGEN,Secunda Maria,directed,e547,singt,
Secundus Angelus,SINGEN,Tertia Maria,directed,e548,singt,
Tertius Angelus,SINGEN,Prima Maria,directed,e549,singt,
Tertius Angelus,SINGEN,Secunda Maria,directed,e550,singt,
Tertius Angelus,SINGEN,Tertia Maria,directed,e551,singt,
Tertius Angelus,SPRECHEN,Prima Maria,directed,e552,spricht,
Tertius Angelus,SPRECHEN,Secunda Maria,directed,e553,spricht,
Tertius Angelus,SPRECHEN,Tertia Maria,directed,e554,spricht,
Primus Angelus,SINGEN,Prima Maria,directed,e555,singt,
Primus Angelus,SINGEN,Secunda Maria,directed,e556,singt,
Primus Angelus,SINGEN,Tertia Maria,directed,e557,singt,
Secundus Angelus,SINGEN,Prima Maria,directed,e558,singt,
Secundus Angelus,SINGEN,Secunda Maria,directed,e559,singt,
Secundus Angelus,SINGEN,Tertia Maria,directed,e560,singt,
Tertius Angelus,SINGEN,Prima Maria,directed,e561,singt,
Tertius Angelus,SINGEN,Secunda Maria,directed,e562,singt,
Tertius Angelus,SINGEN,Tertia Maria,directed,e563,singt,
Primus Angelus,SPRECHEN,Prima Maria,directed,e564,spricht,
Primus Angelus,SPRECHEN,Secunda Maria,directed,e565,spricht,
Primus Angelus,SPRECHEN,Tertia Maria,directed,e566,spricht,
Prima Maria,SINGEN,Ignotus,directed,e567,singt,
Secunda Maria,SINGEN,Ignotus,directed,e568,singt,
Tertia Maria,SINGEN,Ignotus,directed,e569,singt,
Prima Maria,SINGEN,Ignotus,directed,e570,singt,
Secunda Maria,SINGEN,Ignotus,directed,e571,singt,
Tertia Maria,SINGEN,Ignotus,directed,e572,singt,
Tertia Maria,SPRECHEN,Ignotus,directed,e573,spricht,
Tertia Maria,SINGEN,Ignotus,directed,e574,singt,
Ihesus,ERSCHEINEN,Sepulcrum,directed,e575,erscheint,
Ihesus,SINGEN,Tertia Maria,directed,e576,singt,
Tertia Maria,SINGEN,Ihesus,directed,e577,singt,
Ihesus,SPRECHEN,Tertia Maria,directed,e578,spricht,
Tertia Maria,SPRECHEN,Ihesus,directed,e579,spricht,
Ihesus,SPRECHEN,Tertia Maria,directed,e580,spricht,
Tertia Maria,SPRECHEN,Ihesus,directed,e581,spricht,
Ihesus,SPRECHEN,Tertia Maria,directed,e582,spricht,
Tertia Maria,GEHEN,Ignotus,directed,e583,geht,
Tertia Maria,SPRECHEN,Ignotus,directed,e584,spricht,
Ihesus,ERSCHEINEN,Sepulcrum,directed,e585,erscheint,
Tertia Maria,SINGEN,Ihesus,directed,e586,singt,
Ihesus,SINGEN,Tertia Maria,directed,e587,singt,
Tertia Maria,SINGEN,Ihesus,directed,e588,singt,
Ihesus,SINGEN,Tertia Maria,directed,e589,singt,
Tertia Maria,SINGEN,Ihesus,directed,e590,singt,
Ihesus,SINGEN,Tertia Maria,directed,e591,singt,
Tertia Maria,SINGEN,Ihesus,directed,e592,singt,
Ihesus,SINGEN,Tertia Maria,directed,e593,singt,
Tertia Maria,SINGEN,Ihesus,directed,e594,singt,
Ihesus,SPRECHEN,Tertia Maria,directed,e595,spricht,
Tertia Maria,GEHEN,Ignotus,directed,e596,geht,
Tertia Maria,SINGEN,Ignotus,directed,e597,singt,
Thomas,GEHEN,Prima Maria,directed,e598,kommt,
Thomas,GEHEN,Secunda Maria,directed,e599,kommt,
Thomas,GEHEN,Tertia Maria,directed,e600,kommt,
Thomas,SPRECHEN,Tertia Maria,directed,e601,spricht,
Tertia Maria,SPRECHEN,Thomas,directed,e602,spricht,
Tertia Maria,GEHEN,Ignotus,directed,e603,geht,
Thomas,SPRECHEN,Ihesus,directed,e604,spricht,
Ihesus,SPRECHEN,Thomas,directed,e605,spricht,
Tertia Maria,SINGEN,Ignotus,directed,e606,singt,
Petrus,GEHEN,Tertia Maria,directed,e607,kommt,
Iohannes,GEHEN,Tertia Maria,directed,e608,kommt,
Petrus,RUFEN,Tertia Maria,directed,e609,ruft,
Iohannes,RUFEN,Tertia Maria,directed,e610,ruft,
Tertia Maria,SINGEN,Petrus,directed,e611,singt,
Tertia Maria,SINGEN,Iohannes,directed,e612,singt,
Petrus,SPRECHEN,Tertia Maria,directed,e613,spricht,
Tertia Maria,SPRECHEN,Petrus,directed,e614,spricht,
Petrus,GEHEN,Exire,directed,e615,geht,
Iohannes,GEHEN,Exire,directed,e616,geht,
Petrus,SINGEN,Ignotus,directed,e617,singt,
Iohannes,SINGEN,Ignotus,directed,e618,singt,
Petrus,LAUFEN,Sepulcrum,directed,e619,läuft zu,
Iohannes,LAUFEN,Sepulcrum,directed,e620,läuft zu,
Petrus,SINGEN,Ignotus,directed,e621,singt,
Iohannes,SINGEN,Ignotus,directed,e622,singt,
Petrus,NEHMEN,Velum,directed,e623,greift,
Iohannes,NEHMEN,Velum,directed,e624,greift,
Petrus,SINGEN,Spectantes,directed,e625,singt,
Iohannes,SINGEN,Spectantes,directed,e626,singt,
Petrus,SPRECHEN,Spectantes,directed,e627,spricht,
Iohannes,SPRECHEN,Spectantes,directed,e628,spricht,
